trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 0.9997142192991582}",35,16,-152.06143669322913,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 3}",1
149,False,"{'a': 0.5, 'e': 0.9996904248310445}",25,0,-186.40554321778393,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
150,False,"{'a': 0.5, 'e': 0.9996646498695335}",30,0,-170.42649591009018,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.999636729686782}",20,0,-92.09045083096586,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9996064858736735}",20,0,-35.88238223921598,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.999573725207005}",25,0,-125.56054136279644,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9995382384234759}",20,0,-66.66308436128007,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9994997988929204}",20,0,-62.542547776509664,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9994581611826228}",20,0,-134.47273835911068,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9994130595039192}",20,0,-142.8950870879404,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9993642060316048}",20,14,-8.451373109924294,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.9993112890859267}",30,0,-151.10006703669475,"{0: 13, 1: 8, 2: 7, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.9992539711661633}",20,0,-113.67552971441508,"{0: 11, 1: 1, 2: 4, 3: 4, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.9991918868239438}",20,0,-151.93412304029667,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9991246403635707}",30,0,-55.75287987082967,"{0: 19, 1: 7, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.9990518033556463}",20,0,-77.99635030065603,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.9989729119492885}",30,0,-179.58796574277514,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9988874639671397}",30,0,-138.59971520343186,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.998794915766221}",25,0,-228.61432820014582,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
167,False,"{'a': 0.5, 'e': 0.9986946788464732}",20,11,-66.33418221016946,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.9985861161875393}",30,2,-162.25018495590734,"{0: 12, 1: 7, 2: 6, 3: 2, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.9984685382929968}",35,0,-210.56966080848952,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.9983411989198255}",25,0,-55.27725226497085,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.9982032904694216}",20,0,-60.3045172448543,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9980539390149145}",20,0,-100.95617327413738,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9978921989379568}",25,0,-167.58728718097385,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.9977170471464969}",25,0,-122.00644043489879,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9975273768433652}",20,0,-164.21308846267058,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.9973219908137869}",20,7,-55.20438910396285,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.9970995941982158}",25,0,-117.91585388932015,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.9968587867151706}",25,0,-137.8652553241896,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.9965980542970827}",20,0,-150.2506287698769,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
180,False,"{'a': 0.5, 'e': 0.996315760100564}",20,0,-46.97270725626114,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9960101348510059}",30,0,-139.46542829293426,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9956792664800881}",30,0,-177.88017346227113,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
